School,Conference,AAC,Big10,Big12,CUSA,Ind,ACC,MAC,MWC ,Pac12,SEC,SunBelt,School(Shortened),Conference(Shortened),Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,GSR,FGR,StadiumCapacity,Stadium,Win,Loss,Ratio
U.S. Air Force Academy,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Air Force,Mt. West,Troy Calhoun,885000,885000,247000,,0,,87,,46692,Falcon Stadium,11,2,84.60%
University of Akron,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Akron,MAC,Terry Bowden,411000,412500,225000,50000,0,688500,78,67,30000,InfoCision Stadium–Summa Field,0,12,0.00%
University of Alabama,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Alabama,SEC,Nick Saban,8307000,8307000,1100000,500000,0,33600000,88,63,101821,Bryant–Denny Stadium,11,2,84.60%
University of Alabama at Birmingham,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Alabama at Birmingham,C-USA,Bill Clark,900000,900000,950000,165471,0,3847500,73,47,71594,Legion Field,9,5,64.30%
Appalachian State University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Appalachian State,Sun Belt,Scott Satterfield,712500,712500,295000,145000,0,2160417,77,65,30000,Kidd Brewer Stadium,13,1,92.90%
University of Arizona,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Arizona,Pac-12,Kevin Sumlin,1600000,2000000,2025000,,0,10000000,78,56,56029,Arizona Stadium,4,8,33.30%
Arizona State University,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Arizona State,Pac-12,Herm Edwards,2000000,2000000,3010000,,0,8166667,75,57,56232,Frank Kush Field at Sun Devil Stadium,8,5,61.50%
"University of Arkansas, Fayetteville",Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Arkansas,SEC,Chad Morris,3500000,3500000,1000000,,0,12500000,76,52,80000,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",2,10,16.70%
Arkansas State University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Arkansas State,Sun Belt,Blake Anderson,825000,825000,185000,25000,0,300000,77,53,30964,Centennial Bank Stadium,8,5,61.50%
U.S. Military Academy,Independent,0,0,0,0,1,0,0,0,0,0,0,Army,Ind.,Jeff Monken,932521,932521,,,0,,75,,38000,Blaik Field at Michie Stadium,5,8,38.50%
Auburn University,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Auburn,SEC,Gus Malzahn,6700000,6705656,1400000,375000,0,32143750,79,64,87451,Pat Dye Field at Jordan–Hare Stadium,9,4,69.20%
Ball State University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Ball State,MAC,Mike Neu,435689,435689,380000,30000,0,980300,76,64,22500,Scheumann Stadium,5,7,41.70%
Baylor University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Baylor,Big 12,Matt Rhule,,,,,0,,91,59,45140,McLane Stadium,11,3,78.60%
Boise State University,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Boise State,Mt. West,Bryan Harsin,1650010,1650010,475000,145000,0,7784038,87,61,36387,Albertsons Stadium,12,2,85.70%
Boston College,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Boston College,ACC,Steve Addazio,2514859,2514859,,,0,,90,80,44500,Alumni Stadium,6,7,46.20%
Bowling Green State University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Bowling Green,MAC,Mike Jinks,437228,437228,245000,81250,0,874456,78,68,24000,Doyt L. Perry Stadium,3,9,25.00%
Brigham Young University,Independent,0,0,0,0,1,0,0,0,0,0,0,Brigham Young,Ind.,Kalani Sitake,,,,,0,,70,40,63470,LaVell Edwards Stadium,7,6,53.80%
"University at Buffalo, the State University of New York",Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Buffalo,MAC,Lance Leipold,455500,455500,381000,0,0,1020833,84,75,29013,UB Stadium,8,5,61.50%
"University of California, Berkeley",Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,California,Pac-12,Justin Wilcox,1500000,1500000,900000,75000,0,7208500,80,68,62717,California Memorial Stadium,8,5,61.50%
University of Central Florida,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Central Florida,AAC,Josh Heupel,1700000,1700000,250000,,0,3587500,81,65,44206,Bounce House,10,3,76.90%
Central Michigan University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Central Michigan,MAC,John Bonamego,655000,655000,415000,45000,0,1125000,82,69,30255,Kelly/Shorts Stadium,8,6,57.10%
The University of North Carolina at Charlotte,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Charlotte,C-USA,Brad Lambert,625000,625000,120000,0,0,556389,80,69,15314,McColl–Richardson Field at Jerry Richardson Stadium,7,6,53.80%
University of Cincinnati,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Cincinnati,AAC,Luke Fickell,2000000,2000000,625000,0,0,7100000,87,66,40000,Nippert Stadium,11,3,78.60%
Clemson University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Clemson,ACC,Dabo Swinney,6205000,6543350,1125000,500000,0,35000000,83,59,81500,Frank Howard Field at Clemson Memorial Stadium,14,1,93.30%
Coastal Carolina University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Coastal Carolina,Sun Belt,Joe Moglia,400000,400000,800000,25000,0,516667,79,61,20000,Brooks Stadium,5,7,41.70%
"University of Colorado, Boulder",Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Colorado,Pac-12,Mike MacIntyre,2878500,2878500,2150000,297000,0,10314583,86,58,50183,Folsom Field,5,7,41.70%
Colorado State University,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Colorado State,Mt. West,Mike Bobo,1800000,1800000,905000,50000,0,8000000,75,72,41200,Sonny Lubick Field at Canvas Stadium,4,8,33.30%
University of Connecticut,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Connecticut,AAC,Randy Edsall,1100000,1100000,650000,129000,0,1000000,88,76,40000,Pratt & Whitney Stadium at Rentschler Field,2,10,16.70%
Duke University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Duke,ACC,David Cutcliffe,2540928,2540928,,,0,,97,92,40000,Brooks Field at Wallace Wade Stadium,5,7,41.70%
East Carolina University,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,East Carolina,AAC,Scottie Montgomery,1102500,1102500,850000,0,0,1233333,76,71,50000,Bagwell Field at Dowdy–Ficklen Stadium,4,8,33.30%
Eastern Michigan University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Eastern Michigan,MAC,Chris Creighton,460000,460000,395000,10000,0,950000,75,58,30200,Rynearson Stadium,6,7,46.20%
University of Florida,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Florida,SEC,Dan Mullen,6070000,6070000,925000,,0,12000000,83,36,88548,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,11,2,84.60%
Florida Atlantic University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Florida Atlantic,C-USA,Lane Kiffin,1000000,1000000,1150000,40000,0,2850000,74,60,30000,Howard Schnellenberger Field at FAU Stadium,11,3,78.60%
Florida International University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Florida International,C-USA,Butch Davis,945000,945000,550000,35000,0,3185626,69,55,23500,Riccardo Silva Stadium,6,7,46.20%
Florida State University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Florida State,ACC,Willie Taggart,5000000,5000000,1475000,,0,21958333,51,35,79560,Bobby Bowden Field at Doak S. Campbell Stadium,6,7,46.20%
"California State University, Fresno",Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Fresno State,Mt. West,Jeff Tedford,1550000,1550000,2765000,1240000,0,5440000,73,60,41031,Bulldog Stadium at Jim Sweeney Field,4,8,33.30%
University of Georgia,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Georgia,SEC,Kirby Smart,6603600,6603600,1150000,1350000,0,27917500,71,48,92746,Sanford Stadium,12,2,85.70%
Georgia Southern University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Georgia Southern,Sun Belt,Chad Lunsford,650000,650000,295000,,0,83333,67,58,25000,Allen E. Paulson Stadium,7,6,53.80%
Georgia State University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Georgia State,Sun Belt,Shawn Elliott,569000,569000,220000,60000,0,1500000,79,72,25000,Center Parc Stadium,7,6,53.80%
Georgia Institute of Technology,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Georgia Tech,ACC,Paul Johnson,3060018,3060018,1330000,225000,0,4000000,88,74,55000,Bobby Dodd Stadium at Historic Grant Field,3,9,25.00%
"University of Hawaii, Manoa",Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Hawaii,Mt. West,Nick Rolovich,425004,486504,1260000,0,0,300000,71,56,50000,Aloha Stadium,10,5,66.70%
University of Houston,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Houston,AAC,Major Applewhite,1750000,1750000,782500,20000,0,2112500,67,53,40000,John O'Quinn Field at TDECU Stadium,4,8,33.30%
University of Illinois Urbana-Champaign,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Illinois,Big Ten,Lovie Smith,5000000,5000000,1000000,50000,0,12636991,90,75,60670,Memorial Stadium,6,7,46.20%
"Indiana University, Bloomington",Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Indiana,Big Ten,Tom Allen,1830000,1830000,1441668,0,0,2000000,88,63,52959,Memorial Stadium,8,5,61.50%
University of Iowa,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Iowa,Big Ten,Kirk Ferentz,4700000,4700000,2875000,600000,0,22396250,87,66,70585,Kinnick Stadium,10,3,76.90%
Iowa State University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Iowa State,Big 12,Matt Campbell,3500000,3500000,750000,650000,0,19291667,86,66,61500,Jack Trice Stadium,7,6,53.80%
University of Kansas,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Kansas,Big 12,David Beaty,1701109,1701109,2000000,0,0,3000000,76,55,50071,David Booth Kansas Memorial Stadium,3,9,25.00%
Kansas State University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Kansas State,Big 12,Bill Snyder,3500000,3500000,580000,50000,0,3000000,91,74,50000,Bill Snyder Family Football Stadium,8,5,61.50%
Kent State University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Kent State,MAC,Sean Lewis,440000,440000,406000,,0,1150000,79,53,25000,Dix Stadium,7,6,53.80%
University of Kentucky,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Kentucky,SEC,Mark Stoops,4000000,4013600,3100000,300000,0,15625000,79,54,61000,Kroger Field at C.M. Newton Grounds,8,5,61.50%
Liberty University,Independent,0,0,0,0,1,0,0,0,0,0,0,Liberty,Ind.,Turner Gill,947281,947281,,,0,,65,55,25000,Arthur L. Williams Stadium,8,5,61.50%
Louisiana Tech University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Louisiana Tech,C-USA,Skip Holtz,700000,700000,395000,0,0,2508333,61,47,28109,Joe Aillet Stadium,10,3,76.90%
University of Louisiana at Lafayette,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Louisiana-Lafayette,Sun Belt,Billy Napier,850000,850000,435000,,0,2671875,75,62,41426,Cajun Field,11,3,78.60%
University of Louisiana Monroe,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Louisiana-Monroe,Sun Belt,Matt Viator,390000,390000,50000,0,0,175000,85,68,30427,JPS Field at Malone Stadium,5,7,41.70%
University of Louisville,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Louisville,ACC,Bobby Petrino,3980434,3980434,1472917,869917,0,14056250,94,89,61000,Cardinal Stadium,8,5,61.50%
Louisiana State University,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,LSU,SEC,Ed Orgeron,3500000,3500000,1575000,100000,0,5291667,66,32,102321,Tiger Stadium,15,0,100.00%
Marshall University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Marshall,C-USA,Doc Holliday,762570,762570,145000,55000,0,1951708,84,63,38019,Joan C. Edwards Stadium,8,5,61.50%
"University of Maryland, College Park",Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Maryland,Big Ten,DJ Durkin,2512000,2512000,625000,0,0,5096178,85,68,51802,Capital One Field at Maryland Stadium,3,9,25.00%
"University of Massachusetts, Amherst",Independent,0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Ind.,Mark Whipple,500000,500000,305000,20000,0,300000,67,51,17000,Warren McGuirk Alumni Stadium,1,11,8.30%
University of Memphis,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Memphis,AAC,Mike Norvell,2600000,2600000,775000,185000,0,7431667,90,63,62380,Liberty Bowl Memorial Stadium,12,2,85.70%
University of Miami (Florida),Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Miami (Fla.),ACC,Mark Richt,4058061,4058061,,,0,,76,42,65326,Hard Rock Stadium,6,7,46.20%
Miami University (Ohio),Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Miami (Ohio),MAC,Chuck Martin,524826,524826,582110,12669,0,522300,89,72,24286,Fred C. Yager Stadium,8,6,57.10%
University of Michigan,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Michigan,Big Ten,Jim Harbaugh,7504000,7504000,1325000,150000,0,17111110,92,73,107601,Michigan Stadium,9,4,69.20%
Michigan State University,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Michigan State,Big Ten,Mark Dantonio,4390417,4390417,650000,125000,0,7000000,86,75,75005,Spartan Stadium,7,6,53.80%
Middle Tennessee State University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Middle Tennessee,C-USA,Rick Stockstill,801504,803004,126142,65142,0,6633774,95,70,31000,"Johnny ""Red"" Floyd Stadium",4,8,33.30%
"University of Minnesota, Twin Cities",Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Minnesota,Big Ten,P.J. Fleck,3550000,3550000,900000,0,0,9291667,93,74,50805,TCF Bank Stadium,11,2,84.60%
University of Mississippi,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Mississippi,SEC,Matt Luke,3000000,3000000,1550000,,0,0,68,49,64038,Vaught–Hemingway Stadium at Hollingsworth Field,4,8,33.30%
Mississippi State University,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Mississippi State,SEC,Joe Moorhead,2600000,2600000,1350000,,0,0,81,68,61337,Davis Wade Stadium at Scott Field,6,7,46.20%
"University of Missouri, Columbia",Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Missouri,SEC,Barry Odom,2350000,2350000,1025000,375000,0,1912500,84,64,61620,Faurot Field at Memorial Stadium,6,6,50.00%
U.S. Naval Academy,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Navy,AAC,Ken Niumatalolo,2163000,2163000,,,0,,87,,34000,Navy–Marine Corps Memorial Stadium,11,2,84.60%
"University of Nebraska, Lincoln",Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Nebraska,Big Ten,Scott Frost,5000000,5000000,950000,,0,25416667,88,66,86047,"Memorial Stadium, Tom Osborne Field",5,7,41.70%
"University of Nevada, Reno",Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Nevada,Mt. West,Jay Norvell,500000,500000,210000,0,0,900000,75,48,26000,Mackay Stadium,7,6,53.80%
"University of Nevada, Las Vegas",Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Nevada-Las Vegas,Mt. West,Tony Sanchez,600000,600000,260000,0,0,950000,69,61,65000,Allegiant Stadium,4,8,33.30%
University of New Mexico,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,New Mexico,Mt. West,Bob Davie,822690,823740,340000,0,0,1303294,61,34,39224,Dreamstyle Stadium,2,10,16.70%
New Mexico State University,Independent,0,0,0,0,1,0,0,0,0,0,0,New Mexico State,Ind.,Doug Martin,419640,419640,220000,20000,0,1532790,80,59,30343,Aggie Memorial Stadium,2,10,16.70%
"University of North Carolina, Chapel Hill",Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,North Carolina,ACC,Larry Fedora,2575000,2575000,900000,50000,0,12215625,72,62,51000,Kenan Memorial Stadium,7,6,53.80%
North Carolina State University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,North Carolina State,ACC,Dave Doeren,3000000,3000000,1350000,275000,0,6125000,76,54,57583,Wayne Day Family Field at Carter–Finley Stadium,4,8,33.30%
University of North Texas,Conference USA,0,0,0,1,0,0,0,0,0,0,0,North Texas,C-USA,Seth Littrell,1425000,1425000,580000,130000,0,4425000,81,62,30850,Apogee Stadium,4,8,33.30%
Northern Illinois University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Northern Illinois,MAC,Rod Carey,633460,633460,205000,42500,0,1822918,84,65,23595,Brigham Field at Huskie Stadium,5,7,41.70%
Northwestern University,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Northwestern,Big Ten,Pat Fitzgerald,3619775,3619775,,,0,,97,93,47130,Ryan Field,3,9,25.00%
University of Notre Dame,Independent,0,0,0,0,1,0,0,0,0,0,0,Notre Dame,Ind.,Brian Kelly,2129638,2129638,,,0,,91,85,80795,Notre Dame Stadium,11,2,84.60%
Ohio University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Ohio,MAC,Frank Solich,580331,580331,333833,60772,0,558275,89,75,24000,Peden Stadium,7,6,53.80%
The Ohio State University,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Ohio State,Big Ten,Urban Meyer,7600000,7600000,775000,350000,0,38058402,69,45,102780,Ohio Stadium,13,1,92.90%
University of Oklahoma,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Oklahoma,Big 12,Lincoln Riley,4800000,4800000,700000,180000,0,20833333,70,54,80126,Gaylord Family – Oklahoma Memorial Stadium at Owen Field,12,2,85.70%
Oklahoma State University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Oklahoma State,Big 12,Mike Gundy,5000000,5000000,900000,62500,0,16250000,68,50,60218,Boone Pickens Stadium,8,5,61.50%
Old Dominion University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Old Dominion,C-USA,Bobby Wilder,654667,654667,504895,0,0,1200000,63,41,22480,Kornblau Field at S.B. Ballard Stadium,1,11,8.30%
University of Oregon,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Oregon,Pac-12,Mario Cristobal,2500000,2500000,1825000,,0,5208333,78,63,54000,Autzen Stadium,12,2,85.70%
Oregon State University,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Oregon State,Pac-12,Jonathan Smith,1900008,1900008,1275000,,0,4037517,75,63,45674,Reser Stadium,5,7,41.70%
Pennsylvania State University,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Penn State,Big Ten,James Franklin,4800000,4800000,1000000,300000,0,18375000,85,67,106572,Beaver Stadium,11,2,84.60%
University of Pittsburgh,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Pittsburgh,ACC,Pat Narduzzi,3017718,3017718,,,0,,86,56,68400,Heinz Field,8,5,61.50%
Purdue University,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Purdue,Big Ten,Jeff Brohm,3800000,3800000,1290000,180000,0,21516667,79,66,57236,Ross–Ade Stadium,4,8,33.30%
Rice University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Rice,C-USA,Mike Bloomgren,,,,,0,,88,86,47000,Rice Stadium,3,9,25.00%
"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Rutgers,Big Ten,Chris Ash,2200000,2200000,960000,50000,0,10350000,70,54,52454,SHI Stadium,2,10,16.70%
San Diego State University,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,San Diego State,Mt. West,Rocky Long,872576,873576,720000,95000,0,447412,85,73,27000,Dignity Health Sports Park,10,3,76.90%
San Jose State University,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,San Jose State,Mt. West,Brent Brennan,590424,590424,210000,0,0,1476060,72,68,30456,CEFCU Stadium,5,7,41.70%
University of South Alabama,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,South Alabama,Sun Belt,Steve Campbell,600000,600000,295000,,0,918333,77,57,25450,Hancock Whitney Stadium,2,10,16.70%
"University of South Carolina, Columbia",Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,South Carolina,SEC,Will Muschamp,4200000,4200000,1400000,100000,0,18650000,89,65,80250,Williams-Brice Stadium,4,8,33.30%
University of South Florida,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,South Florida,AAC,Charlie Strong,1000000,1000000,815000,70000,0,192308,76,61,65857,Raymond James Stadium,4,8,33.30%
University of Southern California,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Southern California,Pac-12,Clay Helton,2625965,2625965,,,0,,82,62,77500,Los Angeles Memorial Coliseum,8,5,61.50%
Southern Methodist University,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Southern Methodist,AAC,Sonny Dykes,,,,,0,,75,64,32000,Gerald J. Ford Stadium,10,3,76.90%
The University of Southern Mississippi,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Southern Mississippi,C-USA,Jay Hopson,500000,500000,870000,15000,0,1583333,70,55,36000,Carlisle-Faulkner Field at M.M. Roberts Stadium,7,6,53.80%
Stanford University,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Stanford,Pac-12,David Shaw,4311543,4311543,,,0,,90,86,50424,Stanford Stadium,6,8,33.30%
Syracuse University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Syracuse,ACC,Dino Babers,2401206,2401206,,,0,,88,78,49250,Carrier Dome,5,7,41.70%
"University of Tennessee, Knoxville",Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Tennessee,SEC,Jeremy Pruitt,3846000,3846000,1200000,,0,11780000,83,63,102455,Neyland Stadium,8,5,61.50%
University of Texas at Austin,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Texas,Big 12,Tom Herman,5500000,5500000,725000,75000,0,15416667,81,64,100119,Darrell K Royal–Texas Memorial Stadium,8,5,61.50%
"Texas A&M University, College Station",Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Texas A&M,SEC,Jimbo Fisher,7500000,7500000,1350000,,0,68125000,73,55,102733,Kyle Field,8,5,61.50%
Texas Christian University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Texas Christian,Big 12,Gary Patterson,4840717,4840717,,,0,,70,59,45000,Amon G. Carter Stadium,5,7,41.70%
Texas State University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Texas State,Sun Belt,Everett Withers,700000,700000,70833,0,0,773958,71,61,30000,Jim Wacker Field at Bobcat Stadium,3,9,25.00%
Texas Tech University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Texas Tech,Big 12,Kliff Kingsbury,3703975,3703975,1500000,25000,0,4231250,73,52,60862,Jones AT&T Stadium,4,8,33.30%
University of Texas at El Paso,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Texas-El Paso,C-USA,Dana Dimel,700000,700000,741665,,0,2991667,83,63,51500,Sun Bowl Stadium,1,11,8.30%
University of Texas at San Antonio,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Texas-San Antonio,C-USA,Frank Wilson,1100000,1100000,185000,17500,0,3562500,83,61,65000,Alamodome,4,8,33.30%
University of Toledo,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Toledo,MAC,Jason Candle,1125000,1125000,585000,210000,0,3558333,86,75,26248,Glass Bowl,6,6,50.00%
Troy University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Troy,Sun Belt,Neal Brown,810000,810000,490000,100000,0,2911667,77,63,30402,Veterans Memorial Stadium at Larry Blakeney Field,5,7,41.70%
Tulane University,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Tulane,AAC,Willie Fritz,1629000,1629000,,,0,,88,74,30000,Benson Field at Yulman Stadium,7,6,53.80%
The University of Tulsa,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Tulsa,AAC,Philip Montgomery,1518177,1518177,,,0,,75,66,30000,Skelly Field at H.A. Chapman Stadium,4,8,33.30%
"University of California, Los Angeles",Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,UCLA,Pac-12,Chip Kelly,3300000,3300000,1085000,,0,9000000,79,61,90888,Rose Bowl Stadium,4,8,33.30%
University of Utah,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Utah,Pac-12,Kyle Whittingham,3787917,3787917,935000,279167,0,9250000,92,70,47825,Rice–Eccles Stadium,11,3,78.60%
Utah State University,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Utah State,Mt. West,Matt Wells,900000,900000,765000,65000,0,2122917,91,67,25513,Merlin Olsen Field at Maverik Stadium,7,6,53.80%
Vanderbilt University,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Vanderbilt,SEC,Derek Mason,2812523,2812523,,,0,,95,80,40350,Vanderbilt Stadium,3,9,25.00%
University of Virginia,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Virginia,ACC,Bronco Mendenhall,3550000,3550000,2165000,75000,0,18193750,90,77,61500,"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium",9,5,64.30%
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Virginia Tech,ACC,Justin Fuente,4000000,4000000,435000,75000,0,15000000,87,75,66233,Lane Stadium/Worsham Field,8,5,61.50%
Wake Forest University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Wake Forest,ACC,Dave Clawson,1831580,1831580,,,0,,88,73,31500,Truist Field,8,5,61.50%
University of Washington,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Washington,Pac-12,Chris Petersen,4375000,4377500,1050000,300000,0,26354166,88,65,70500,Alaska Airlines Field at Husky Stadium,8,5,61.50%
Washington State University,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Washington State,Pac-12,Mike Leach,3500000,3500000,725000,75000,0,4900000,82,59,32248,Martin Stadium,6,7,46.20%
West Virginia University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,West Virginia,Big 12,Dana Holgorsen,3605000,3617500,1000000,90000,0,7150000,69,58,60000,Mountaineer Field at Milan Puskar Stadium,5,7,41.70%
Western Kentucky University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Western Kentucky,C-USA,Mike Sanford Jr.,800000,805850,400000,0,0,1200000,64,46,22113,Houchens Industries–L. T. Smith Stadium at Jimmy Feix Field,9,4,69.20%
Western Michigan University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Western Michigan,MAC,Tim Lester,800000,800000,346500,39250,0,800000,73,39,30200,Waldo Stadium,7,6,53.80%
University of Wisconsin-Madison,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Wisconsin,Big Ten,Paul Chryst,3750000,3750000,,290000,0,6000000,91,77,80321,Camp Randall Stadium,10,4,71.40%
University of Wyoming,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Wyoming,Mt. West,Craig Bohl,1412000,1412000,450000,236000,0,8016667,88,51,29181,Jonah Field at War Memorial Stadium,8,5,61.50%
